mean,sd,0.025quant,0.5quant,0.975quant,mode,kld
0.27,0.25,-0.23,0.27,0.77,0.28,0
-0.2,0.07,-0.33,-0.2,-0.06,-0.2,0
0.35,0.07,0.21,0.35,0.5,0.35,0
