Number,Model,WAIC,DIC,CV log score,R-Squared (Null) %,R-Squared (RE) %,MAE
2,RE,2191,2187,2.541,65.5,0,5.174
3,RE + tmin.1,2192,2188,2.543,65.4,-0.2,5.204
4,RE + sst34.2,2177,2172,2.525,66.8,3.7,4.959
5,RE + prcpCum2,2168,2164,2.514,67.1,4.7,4.864
6,RE + prcpCum2 + sst34.2,2159,2155,2.504,68,7.3,4.706
7,RE + prcpCum2 + sst34.2 + tmin.1,2160,2157,2.505,68,7.3,4.712
